NSLC maze1,NSLC maze2,NSLC maze3,NSLC maze4,ME-NOV maze1,ME-NOV maze2,ME-NOV maze3,ME-NOV maze4,NWSE maze1,NWSE maze2,NWSE maze3,NWSE maze4
2.54,2.71,2.54,2.54,2.685,2.603,2.603,2.685,1.937,1.972,1.982,1.947
2.73,2.795,2.71,2.715,2.715,2.63,2.63,2.715,1.972,1.975,1.983,1.973
2.795,2.815,2.715,2.717,2.718,2.655,2.655,2.718,1.974,1.977,1.987,1.977
2.8,2.848,2.75,2.75,2.723,2.658,2.658,2.723,1.974,1.98,1.994,1.983
2.807,2.863,2.778,2.785,2.723,2.69,2.69,2.723,1.978,1.992,2.522,1.989
2.815,2.867,2.785,2.788,2.723,2.755,2.715,2.723,1.994,2.607,2.556,2.48
2.823,2.875,2.788,2.793,2.725,3.33,2.718,2.725,2.71,2.678,2.796,2.586
2.828,2.893,2.793,2.795,2.752,3.67,2.723,2.75,2.812,2.889,2.811,2.756
2.845,2.893,2.795,2.8,2.76,3.675,2.723,2.75,2.885,4.854,2.884,2.77
3.778,2.897,2.8,3.782,2.835,3.675,2.723,2.75,2.9,4.896,2.957,2.961
3.798,2.9,2.815,3.801,3.512,3.675,2.725,2.75,3.709,5.868,2.971,3.796
3.805,2.902,2.835,3.828,3.512,3.675,2.748,2.75,4.917,6.752,3.869,4.867
3.825,2.902,2.848,3.83,3.512,3.675,2.752,2.75,5.781,7.62,3.921,4.909
3.826,3.555,2.863,3.83,3.512,3.675,4.63,2.75,7.784,12.889,4.666,4.917
3.826,3.72,2.867,3.833,3.512,3.675,12.75,2.75,8.831,13.868,4.705,4.932
3.83,3.722,2.877,3.838,3.512,3.675,12.75,2.75,12.888,14.684,4.766,6.627
3.835,3.856,2.877,3.848,3.512,3.68,12.75,2.752,18.694,18.677,12.785,8.536
3.845,4.619,2.88,4.684,3.757,3.682,12.75,3.76,18.712,18.688,12.896,18.728
4.679,5.652,2.883,4.85,4.755,3.683,12.75,4.738,18.722,18.701,13.876,18.751
4.844,5.713,2.885,5.762,4.76,3.684,12.75,4.76,18.747,18.711,18.737,18.764
6.641,5.716,2.888,6.646,4.778,3.684,12.75,4.77,18.751,18.736,18.741,18.768
8.755,5.717,4.53,8.744,4.779,3.697,12.75,4.783,18.771,18.748,18.748,18.787
18.77,6.753,4.87,18.776,5.678,4.605,12.75,5.673,18.791,18.78,18.748,18.79
,,,,,,,,,,,
,,,,,,,,,,,
maze,method,max vlaue,,,,,,,,,
maze1,NSLC,18.77,,,,,,,,,
,ME-NOV,5.678,,,,,,,,,
,NWSE,18.791,,,,,,,,,
maze2,NSLC,6.753,,,,,,,,,
,ME-NOV,4.605,,,,,,,,,
,NWSE,18.78,,,,,,,,,
maze3,NSLC,4.87,,,,,,,,,
,ME-NOV,12.75,,,,,,,,,
,NWSE,18.748,,,,,,,,,
maze4,NSLC,18.776,,,,,,,,,
,ME-NOV,5.673,,,,,,,,,
,NWSE,18.79,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
NSLC,maze1,18.77,,,,,,,,,
,maze2,6.753,,,,,,,,,
,maze3,4.87,,,,,,,,,
,maze4,18.776,,,,,,,,,
ME-NOV,maze1,5.678,,,,,,,,,
,maze2,4.605,,,,,,,,,
,maze3,12.75,,,,,,,,,
,maze4,5.673,,,,,,,,,
NWSE,maze1,18.791,,,,,,,,,
,maze2,18.78,,,,,,,,,
,maze3,18.748,,,,,,,,,
,maze4,18.79,,,,,,,,,
